pattern,title,difficulty_id,link,,,,,,,,,,,,,,,,,,,,,,
heap_priority_queue,K Closest Points to Origin,2,https://leetcode.com/problems/k-closest-points-to-origin,,,,,,,,,,,,,,,,,,,,,,
heap_priority_queue,Kth Largest Element in an Array,2,https://leetcode.com/problems/kth-largest-element-in-an-array,,,,,,,,,,,,,,,,,,,,,,
heap_priority_queue,Task Scheduler,2,https://leetcode.com/problems/task-scheduler,,,,,,,,,,,,,,,,,,,,,,
heap_priority_queue,Design Twitter,2,https://leetcode.com/problems/design-twitter,,,,,,,,,,,,,,,,,,,,,,
heap_priority_queue,Find Median from Data Stream,3,https://leetcode.com/problems/find-median-from-data-stream,,,,,,,,,,,,,,,,,,,,,,
backtracking,Subsets,2,https://leetcode.com/problems/subsets,,,,,,,,,,,,,,,,,,,,,,
backtracking,Combination Sum,2,https://leetcode.com/problems/combination-sum,,,,,,,,,,,,,,,,,,,,,,
backtracking,Permutations,2,https://leetcode.com/problems/permutations,,,,,,,,,,,,,,,,,,,,,,
backtracking,Subsets II,2,https://leetcode.com/problems/subsets-ii,,,,,,,,,,,,,,,,,,,,,,
backtracking,Combination Sum II,2,https://leetcode.com/problems/combination-sum-ii,,,,,,,,,,,,,,,,,,,,,,
backtracking,Word Search,2,https://leetcode.com/problems/word-search,,,,,,,,,,,,,,,,,,,,,,
backtracking,Palindrome Partitioning,2,https://leetcode.com/problems/palindrome-partitioning,,,,,,,,,,,,,,,,,,,,,,
backtracking,Letter Combinations of a Phone Number,2,https://leetcode.com/problems/letter-combinations-of-a-phone-number,,,,,,,,,,,,,,,,,,,,,,
backtracking,N-Queens,3,https://leetcode.com/problems/n-queens,,,,,,,,,,,,,,,,,,,,,,
graph,Number of Islands,2,https://leetcode.com/problems/number-of-islands,,,,,,,,,,,,,,,,,,,,,,
graph,Clone Graph,2,https://leetcode.com/problems/clone-graph,,,,,,,,,,,,,,,,,,,,,,
graph,Max Area of Island,2,https://leetcode.com/problems/max-area-of-island,,,,,,,,,,,,,,,,,,,,,,
graph,Pacific Atlantic Waterflow,2,https://leetcode.com/problems/pacific-atlantic-water-flow,,,,,,,,,,,,,,,,,,,,,,
graph,Surrounded Regions,2,https://leetcode.com/problems/surrounded-regions,,,,,,,,,,,,,,,,,,,,,,
graph,Rotting Oranges,2,https://leetcode.com/problems/rotting-oranges,,,,,,,,,,,,,,,,,,,,,,
graph,Walls and Gates,2,https://leetcode.com/problems/walls-and-gates,,,,,,,,,,,,,,,,,,,,,,
